Date,Symbol,Price,Available Supply,Unlocked Supply,Community & Other (TBD),Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Jun 04 2025,COW,0,940976616.02,425401371.02,515575245.00,132413519.53,83823304.92,39511335.33,8000000.00,161653211.24
Jun 02 2025,COW,0,940417152.67,424841907.67,515575245.00,132196270.11,83685776.94,39446509.51,8000000.00,161513351.10
May 31 2025,COW,0,939857689.31,424282444.31,515575245.00,131979020.70,83548248.95,39381683.70,8000000.00,161373490.97
May 29 2025,COW,0,939298225.96,423722980.96,515575245.00,131761771.28,83410720.97,39316857.88,8000000.00,161233630.83
May 28 2025,COW,0,939018494.28,423443249.28,515575245.00,131653146.57,83341956.98,39284444.97,8000000.00,161163700.76
May 26 2025,COW,0,938459030.92,422883785.92,515575245.00,131435897.15,83204429.00,39219619.15,8000000.00,161023840.62
May 24 2025,COW,0,937899567.57,422324322.57,515575245.00,131218647.74,83066901.02,39154793.34,8000000.00,160883980.48
May 22 2025,COW,0,937340104.21,421764859.21,515575245.00,131001398.32,82929373.04,39089967.52,8000000.00,160744120.34
May 20 2025,COW,0,936780640.86,421205395.86,515575245.00,130784148.90,82791845.05,39025141.70,8000000.00,160604260.20
May 19 2025,COW,0,936500909.18,420925664.18,515575245.00,130675524.20,82723081.06,38992728.80,8000000.00,160534330.13
May 17 2025,COW,0,935941445.82,420366200.82,515575245.00,130458274.78,82585553.08,38927902.98,8000000.00,160394469.99
May 15 2025,COW,0,935381982.47,419806737.47,515575245.00,130241025.36,82448025.10,38863077.16,8000000.00,160254609.85
May 13 2025,COW,0,934822519.11,419247274.11,515575245.00,130023775.94,82310497.12,38798251.34,8000000.00,160114749.71
May 11 2025,COW,0,934263055.76,418687810.76,515575245.00,129806526.53,82172969.14,38733425.53,8000000.00,159974889.57
May 10 2025,COW,0,933983324.08,418408079.08,515575245.00,129697901.82,82104205.15,38701012.62,8000000.00,159904959.50
May 08 2025,COW,0,933423860.73,417848615.73,515575245.00,129480652.40,81966677.16,38636186.80,8000000.00,159765099.36
May 06 2025,COW,0,932864397.37,417289152.37,515575245.00,129263402.99,81829149.18,38571360.99,8000000.00,159625239.22
May 04 2025,COW,0,932304934.02,416729689.02,515575245.00,129046153.57,81691621.20,38506535.17,8000000.00,159485379.08
May 02 2025,COW,0,931745470.66,416170225.66,515575245.00,128828904.15,81554093.22,38441709.35,8000000.00,159345518.94
May 01 2025,COW,0,931465738.98,415890493.98,515575245.00,128720279.44,81485329.23,38409296.44,8000000.00,159275588.87
Apr 29 2025,COW,0,930906275.63,415331030.63,515575245.00,128503030.03,81347801.25,38344470.63,8000000.00,159135728.73
Apr 27 2025,COW,0,930346812.27,414771567.27,515575245.00,128285780.61,81210273.26,38279644.81,8000000.00,158995868.59
Apr 25 2025,COW,0,929787348.92,414212103.92,515575245.00,128068531.19,81072745.28,38214818.99,8000000.00,158856008.45
Apr 23 2025,COW,0,929227885.56,413652640.56,515575245.00,127851281.78,80935217.30,38149993.18,8000000.00,158716148.31
Apr 22 2025,COW,0,928948153.88,413372908.88,515575245.00,127742657.07,80866453.31,38117580.27,8000000.00,158646218.24
Apr 20 2025,COW,0,928388690.53,412813445.53,515575245.00,127525407.65,80728925.33,38052754.45,8000000.00,158506358.10
Apr 18 2025,COW,0,927829227.17,412253982.17,515575245.00,127308158.23,80591397.35,37987928.63,8000000.00,158366497.96
Apr 16 2025,COW,0,927269763.82,411694518.82,515575245.00,127090908.82,80453869.36,37923102.82,8000000.00,158226637.82
Apr 14 2025,COW,0,926710300.46,411135055.46,515575245.00,126873659.40,80316341.38,37858277.00,8000000.00,158086777.68
Apr 13 2025,COW,0,926430568.79,410855323.79,515575245.00,126765034.69,80247577.39,37825864.09,8000000.00,158016847.61
Apr 11 2025,COW,0,925871105.43,410295860.43,515575245.00,126547785.28,80110049.41,37761038.28,8000000.00,157876987.47
Apr 09 2025,COW,0,925311642.07,409736397.07,515575245.00,126330535.86,79972521.43,37696212.46,8000000.00,157737127.33
Apr 07 2025,COW,0,924752178.72,409176933.72,515575245.00,126113286.44,79834993.45,37631386.64,8000000.00,157597267.19
Apr 05 2025,COW,0,924192715.36,408617470.36,515575245.00,125896037.03,79697465.46,37566560.83,8000000.00,157457407.05
Apr 04 2025,COW,0,923912983.69,408337738.69,515575245.00,125787412.32,79628701.47,37534147.92,8000000.00,157387476.98
Apr 02 2025,COW,0,923353520.33,407778275.33,515575245.00,125570162.90,79491173.49,37469322.10,8000000.00,157247616.84
Mar 31 2025,COW,0,922794056.98,407218811.98,515575245.00,125352913.48,79353645.51,37404496.28,8000000.00,157107756.70
Mar 29 2025,COW,0,922234593.62,406659348.62,515575245.00,125135664.07,79216117.53,37339670.47,8000000.00,156967896.56
Mar 27 2025,COW,0,921675130.27,406099885.27,515575245.00,124918414.65,79078589.55,37274844.65,8000000.00,156828036.42
Mar 26 2025,COW,0,921395398.59,405820153.59,515575245.00,124809789.94,79009825.55,37242431.74,8000000.00,156758106.35
Mar 24 2025,COW,0,920835935.23,405260690.23,515575245.00,124592540.53,78872297.57,37177605.93,8000000.00,156618246.21
Mar 22 2025,COW,0,920276471.88,404701226.88,515575245.00,124375291.11,78734769.59,37112780.11,8000000.00,156478386.07
Mar 20 2025,COW,0,919717008.52,404141763.52,515575245.00,124158041.69,78597241.61,37047954.29,8000000.00,156338525.93
Mar 18 2025,COW,0,919157545.17,403582300.17,515575245.00,123940792.27,78459713.63,36983128.47,8000000.00,156198665.79
Mar 17 2025,COW,0,918877813.49,403302568.49,515575245.00,123832167.57,78390949.64,36950715.57,8000000.00,156128735.72
Mar 15 2025,COW,0,918318350.13,402743105.13,515575245.00,123614918.15,78253421.65,36885889.75,8000000.00,155988875.58
Mar 13 2025,COW,0,917758886.78,402183641.78,515575245.00,123397668.73,78115893.67,36821063.93,8000000.00,155849015.44
Mar 11 2025,COW,0,917199423.42,401624178.42,515575245.00,123180419.32,77978365.69,36756238.12,8000000.00,155709155.30
Mar 09 2025,COW,0,916639960.07,401064715.07,515575245.00,122963169.90,77840837.71,36691412.30,8000000.00,155569295.16
Mar 08 2025,COW,0,916360228.39,400784983.39,515575245.00,122854545.19,77772073.72,36658999.39,8000000.00,155499365.09
Mar 06 2025,COW,0,915800765.04,400225520.04,515575245.00,122637295.77,77634545.74,36594173.57,8000000.00,155359504.95
