Date,Symbol,Price,Unlocked Supply,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2022-06-23,MULTI,3.25,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-24,MULTI,3.42,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-25,MULTI,3.58,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-26,MULTI,3.78,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-27,MULTI,3.62,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-28,MULTI,3.56,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-29,MULTI,3.51,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-30,MULTI,3.37,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-01,MULTI,3.24,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-02,MULTI,3.31,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-03,MULTI,3.91,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-04,MULTI,3.7,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-05,MULTI,3.82,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-06,MULTI,4.04,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-07,MULTI,4.11,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-08,MULTI,4.23,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-09,MULTI,4.13,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-10,MULTI,4.13,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-11,MULTI,3.71,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-12,MULTI,3.59,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-13,MULTI,3.56,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-14,MULTI,4.04,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-15,MULTI,3.99,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-16,MULTI,3.9,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-17,MULTI,4.05,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-18,MULTI,3.97,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-19,MULTI,4.28,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-20,MULTI,4.37,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-21,MULTI,4.09,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-22,MULTI,4.15,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-23,MULTI,4.09,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-24,MULTI,4.09,18639320,1,0,0.0,0.0,no unlock,0.0
