Date,Symbol,Price,Unlocked Supply,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2014-05-25,DOGE,0,79225206708,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4057555490371071
2014-05-26,DOGE,0,79385287507,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20205791269186474
2014-05-28,DOGE,0,79705449106,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4033009252145984
2014-05-29,DOGE,0,79865529905,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.2008404705017208
2014-05-30,DOGE,0,80025610705,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.2004379113121969
2014-06-01,DOGE,0,80345772303,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4000739203106092
2014-06-02,DOGE,0,80505853102,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1992398534627351
2014-06-03,DOGE,0,80665933902,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19884367885298904
2014-06-05,DOGE,0,80986095500,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3968981483422236
2014-06-06,DOGE,0,81146176300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19766454847795445
2014-06-08,DOGE,0,81466337898,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3945492105707512
2014-06-09,DOGE,0,81626418698,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19649932000187528
2014-06-10,DOGE,0,81786499497,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19611395618404398
2014-06-12,DOGE,0,82106661095,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3914602042745989
2014-06-13,DOGE,0,82266741895,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19496688559139125
2014-06-15,DOGE,0,82586903493,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.38917500635753116
2014-06-16,DOGE,0,82746984293,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1938331542041267
2014-06-17,DOGE,0,82907065092,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1934581669262623
2014-06-19,DOGE,0,83227226691,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3861692590911574
2014-06-20,DOGE,0,83387307490,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19234186379216547
2014-06-22,DOGE,0,83707469088,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3839452401534784
2014-06-23,DOGE,0,83867549888,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1912383706544875
2014-06-24,DOGE,0,84027630687,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19087334638221595
2014-06-26,DOGE,0,84347792286,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3810194294214849
2014-06-27,DOGE,0,84507873085,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18978659033209827
2014-06-28,DOGE,0,84667953884,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18942708312986054
2014-06-30,DOGE,0,84988115483,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.37813787190208936
2014-07-01,DOGE,0,85148196282,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18835668739121605
2014-07-03,DOGE,0,85468357881,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3760051451232924
2014-07-04,DOGE,0,85628438680,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18729832065205348
2014-07-05,DOGE,0,85788519479,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18694816986939833
2014-07-07,DOGE,0,86108681078,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.37319865285514303
2014-07-08,DOGE,0,86268761877,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18590552891524803
2014-07-10,DOGE,0,86588923476,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3711211243027679
2014-07-11,DOGE,0,86749004275,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1848744534217126
2014-07-12,DOGE,0,86909085074,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1845332984947394
2014-07-14,DOGE,0,87229246673,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.36838680182560174
2014-07-15,DOGE,0,87389327472,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18351734665335553
2014-07-16,DOGE,0,87523793179,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.15386971257226292
2014-07-18,DOGE,0,87682243209,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18103652075035714
2014-07-19,DOGE,0,87761468224,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.09035468539640198
2014-07-21,DOGE,0,87919918254,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18054623880673512
2014-07-22,DOGE,0,87999143269,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.09011042841409328
2014-07-23,DOGE,0,88078368285,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.09002930376017546
2014-07-25,DOGE,0,88236818315,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.17989664555012483
2014-07-26,DOGE,0,88316043330,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08978679933491208
2014-07-28,DOGE,0,88474493360,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.17941250991956095
2014-07-29,DOGE,0,88553718375,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08954559895317607
2014-07-30,DOGE,0,88632943390,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08946548654739084
2014-08-01,DOGE,0,88791393420,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.17877103471876474
2014-08-02,DOGE,0,88870618435,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08922600710324566
2014-08-03,DOGE,0,88949843450,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08914646527180994
2014-08-05,DOGE,0,89108293480,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1781341302630477
2014-08-06,DOGE,0,89187518495,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08890868841269162
2014-08-08,DOGE,0,89345968525,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.17765942216329628
2014-08-09,DOGE,0,89425193540,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08867217660507196
2014-08-10,DOGE,0,89504418555,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08859361871502414
2014-08-12,DOGE,0,89662868585,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.17703039979264631
2014-08-13,DOGE,0,89742093600,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08835877799838071
2014-08-15,DOGE,0,89900543630,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.17656154837020652
2014-08-16,DOGE,0,89979768645,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08812517900454882
2014-08-17,DOGE,0,90058993660,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08804758691097433
2014-08-19,DOGE,0,90217443690,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1759402626662662
2014-08-20,DOGE,0,90296668705,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08781562828606455
2014-08-22,DOGE,0,90455118736,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.17547716130886026
2014-08-23,DOGE,0,90534343751,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0875848886244062
2014-08-24,DOGE,0,90613568766,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08750824462581352
2014-08-26,DOGE,0,90772018796,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.17486346929915159
2014-08-27,DOGE,0,90851243811,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08727911536048283
2014-08-28,DOGE,0,90930468826,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0872030053488466
2014-08-30,DOGE,0,91088918856,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.17425405592398524
2014-08-31,DOGE,0,91168143871,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08697546967841904
2014-09-02,DOGE,0,91326593901,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.17379977618520095
2014-09-03,DOGE,0,91405818916,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08674911831911922
2014-09-04,DOGE,0,91485043931,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08667392944950923
2014-09-06,DOGE,0,91643493961,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1731977416106467
2014-09-07,DOGE,0,91722718976,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08644914284227875
2014-09-09,DOGE,0,91881169006,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1727489457017293
2014-09-10,DOGE,0,91960394021,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08622551917556302
2014-09-11,DOGE,0,92039619036,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0861512348260581
2014-09-13,DOGE,0,92198069066,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.17215415672029727
2014-09-14,DOGE,0,92277294081,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0859291477604447
2014-09-15,DOGE,0,92356519096,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08585537297014491
