block_height,recipient_hash,reward_amount
246,1J9HkGKPDd7ek9DA1V4NDEma1F1h7vHi8u,50.0
247,14pBXdFvEaPy6t4gbnrrQWu86ZYPTivEx3,50.0
248,16NEqTQenDpSAn18utw6sYD631Cq9znZf7,50.0
249,1PLgv319qXvnmiCAL3pH1dydVQSwrr2F5W,50.0
250,13iDhZNq6ejzR4GcRZo8F9A9oYR4GgXV3q,50.0
251,1CQrDCsUkuvB5SUa9G2eAc8xqYZeK68x7j,50.0
252,1MTKWKTfG1Gxc1sH955eob7kp5cQ3CcexB,50.0
253,1Hr9AYxjsDUTuq8d1c6tCbVpYWBCvHUupm,50.0
254,17uiEVD2d9U33YzfYJ2vZ9BrUhmMYVnK8M,50.0
255,1N8Q8bSJPLkoZUkdREsQA1dGsHTPrQ9X3j,50.0
256,1BwV17G9AyRuPocPeonRTx7VdCAXga43rn,50.0
257,1PWPk2buWhozxYUE3vnb7MnobjCMkEmagU,50.0
258,1KyUEsMMKw6MNW8RZKehJpyKNyS8ZmXerX,50.0
259,1Mdioqy6kR75YvHhf7eqhTsRxoYfQfhbgn,50.0
260,13F1h7nLa4bgwgvjnRnBYh5cn1kpT4Mo2p,50.0
261,14kbZs9yn2k5r6R5Tkf6gDKp3b3MDu1eGk,50.0
262,1FUgiNk7jjSeNaA3KCoYmdXdhcd7CWrjGh,50.0
263,1NeBSpCzbNML5EZDBAgwT1BQQtMRe1c2Ui,50.0
264,1CFBdvaiZgZPTZERqnezAtDQJuGHKoHSzg,50.0
269,1CKdw5GAp7vrh4Je2xRftmsJR2zWqpiGmG,50.0
270,1G582FH1b5NFScavscH8UgMki683NpTTa6,50.0
271,1AKQFY7YcDFj4xpGpYQ2GnpyGu1YGyUHcF,50.0
272,1LjsyzV318tptLPUNfs6w2jUi6niFXLJuE,50.0
273,14QFGVvDKJZEBMagGyDctfvboG2bgboBAU,50.0
274,13Pqi765raqA9mFW4q2KormB5B5huYbHbs,50.0
275,15QFLqNG398Qwhv8DjkERVpY5fXnaJbLu6,50.0
276,16SneNM9p582qaeuLgdvaJy1pK16awe6se,50.0
277,1MeYKCPYiMbA9CD1moK2RE7Pb47mgK2grD,50.0
279,17c7Q8CbP3o2iLXfgBB3tqnbf2qET1vDe4,50.0
280,1EgsjUzDP1C2G3JTMLcC9qX6N6JNDoKDPt,50.0
281,1P8pSG7v3dQ8DSj42tUeUP9RQX7u52jCSh,50.0
282,1DsXxztYCB7EC1rqExZAMNrCYpQhpntx9z,50.0
283,13fpwAyzcbNJ2UDFWnoeQ2D2tVgvLMCjmd,50.0
284,1Go27SzmXaedChNgyUYgPREn8Q7Cp7qqzq,50.0
285,1LQZn83Uo13UXXvvTWvwE93wgdE4uKSdAU,50.0
287,1Mar5RmTWn6Hh7L2NvaCUQ28t56wvm1h2w,50.0
288,1BUk7k22W5o8TgU9UMPbueGAUZFYXrKFfe,50.0
289,1CSx3HZR5LDSTJCirk3xZuubJ5wF5c3YdA,50.0
290,15hzwjHLsh6KrZA8TUfQaAZ5o2yTPAuKfW,50.0
291,1EAogPN6gFH9wnVdRz47MwG3W5zC2Qwmgm,50.0
292,1LvoT1k6zyAgnaywhQ3D86gHLoFyok2VuP,50.0
293,17toKvqM63FwvpveEBrNt8qNGd3WYA9rwK,50.0
294,12AXzKtoBd98ZnVUoDs7yH82wqZWennFiU,50.0
