Date,Symbol,Available Supply,Unlocked Supply,Private Sales,Protocol Development,Ecosystem Growth,Community Access Sale
Dec 12 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Dec 10 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Dec 08 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Dec 06 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Dec 04 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Dec 02 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Nov 29 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Nov 27 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Nov 25 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Nov 23 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Nov 21 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Nov 19 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Nov 16 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Nov 14 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Nov 12 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Nov 10 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Nov 08 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Nov 06 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Nov 04 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Nov 01 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Oct 30 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
