Date,Symbol,Available Supply,Unlocked Supply,Marketing (TBD),BONK DAO (TBD),Early Contributor,Initial Liquidity,Solana Developer,Solana Artist and Collectors,Solana Market Participants and Defi Users,Solana NFT Projects
Oct 24 2025,BONK,98677919708028.92,77577919708028.92,5300000000000.00,15800000000000.00,19677919708028.92,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 22 2025,BONK,98639598540145.72,77539598540145.72,5300000000000.00,15800000000000.00,19639598540145.71,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 21 2025,BONK,98620437956204.12,77520437956204.11,5300000000000.00,15800000000000.00,19620437956204.11,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 20 2025,BONK,98601277372262.50,77501277372262.50,5300000000000.00,15800000000000.00,19601277372262.50,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 18 2025,BONK,98562956204379.28,77462956204379.28,5300000000000.00,15800000000000.00,19562956204379.29,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 17 2025,BONK,98543795620437.69,77443795620437.69,5300000000000.00,15800000000000.00,19543795620437.69,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 16 2025,BONK,98524635036496.08,77424635036496.08,5300000000000.00,15800000000000.00,19524635036496.08,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 14 2025,BONK,98486313868612.88,77386313868612.88,5300000000000.00,15800000000000.00,19486313868612.87,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 13 2025,BONK,98467153284671.28,77367153284671.27,5300000000000.00,15800000000000.00,19467153284671.26,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 12 2025,BONK,98447992700729.66,77347992700729.66,5300000000000.00,15800000000000.00,19447992700729.66,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 10 2025,BONK,98409671532846.44,77309671532846.44,5300000000000.00,15800000000000.00,19409671532846.45,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 09 2025,BONK,98390510948904.84,77290510948904.84,5300000000000.00,15800000000000.00,19390510948904.84,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 08 2025,BONK,98371350364963.23,77271350364963.23,5300000000000.00,15800000000000.00,19371350364963.24,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
