Date,Symbol,Available Supply,Unlocked Supply,esGMX Rewards,Contributors,GMX:ETH Uniswap Pool,Marketing and Partnerships,Floor Price Fund,XVIX and Gambit migration
Apr 20 2028,GMX,13192083.33,13192083.33,1942083.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 17 2028,GMX,13190833.33,13190833.33,1940833.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 14 2028,GMX,13189583.33,13189583.33,1939583.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 11 2028,GMX,13188333.33,13188333.33,1938333.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 08 2028,GMX,13187096.77,13187096.77,1937096.77,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 05 2028,GMX,13185887.10,13185887.10,1935887.10,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 02 2028,GMX,13184677.42,13184677.42,1934677.42,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Mar 30 2028,GMX,13183467.74,13183467.74,1933467.74,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Mar 27 2028,GMX,13182258.06,13182258.06,1932258.06,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Mar 24 2028,GMX,13181048.39,13181048.39,1931048.39,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Mar 21 2028,GMX,13179838.71,13179838.71,1929838.71,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Mar 18 2028,GMX,13178629.03,13178629.03,1928629.03,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Mar 15 2028,GMX,13177419.35,13177419.35,1927419.35,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Mar 12 2028,GMX,13176209.68,13176209.68,1926209.68,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Mar 09 2028,GMX,13175000.00,13175000.00,1925000.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Mar 06 2028,GMX,13173706.90,13173706.90,1923706.90,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Mar 02 2028,GMX,13171982.76,13171982.76,1921982.76,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Feb 28 2028,GMX,13170689.66,13170689.66,1920689.66,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Feb 25 2028,GMX,13169396.55,13169396.55,1919396.55,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Feb 22 2028,GMX,13168103.45,13168103.45,1918103.45,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Feb 19 2028,GMX,13166810.34,13166810.34,1916810.34,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Feb 16 2028,GMX,13165517.24,13165517.24,1915517.24,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Feb 13 2028,GMX,13164224.14,13164224.14,1914224.14,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Feb 10 2028,GMX,13162931.03,13162931.03,1912931.03,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Feb 07 2028,GMX,13161693.55,13161693.55,1911693.55,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Feb 04 2028,GMX,13160483.87,13160483.87,1910483.87,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Feb 01 2028,GMX,13159274.19,13159274.19,1909274.19,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jan 29 2028,GMX,13158064.52,13158064.52,1908064.52,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jan 26 2028,GMX,13156854.84,13156854.84,1906854.84,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jan 23 2028,GMX,13155645.16,13155645.16,1905645.16,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
