Date,Symbol,Available Supply,Unlocked Supply,Liquidity Incentives,Team,Investors,Ecosystem Fund,Advisors,Liquidity Bootstrapping
Aug 14 2029,PENDLE,370062642.75,370062642.75,146231143.75,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Aug 10 2029,PENDLE,370012238.40,370012238.40,146180739.40,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Aug 06 2029,PENDLE,369961834.05,369961834.05,146130335.05,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Aug 02 2029,PENDLE,369911429.70,369911429.70,146079930.70,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jul 29 2029,PENDLE,369861025.35,369861025.35,146029526.35,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jul 25 2029,PENDLE,369810620.99,369810620.99,145979121.99,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jul 21 2029,PENDLE,369760216.64,369760216.64,145928717.64,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jul 17 2029,PENDLE,369709812.29,369709812.29,145878313.29,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jul 13 2029,PENDLE,369659407.94,369659407.94,145827908.94,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jul 09 2029,PENDLE,369609003.59,369609003.59,145777504.59,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jul 05 2029,PENDLE,369558599.24,369558599.24,145727100.24,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jul 01 2029,PENDLE,369508194.88,369508194.88,145676695.88,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jun 28 2029,PENDLE,369470391.62,369470391.62,145638892.62,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jun 24 2029,PENDLE,369419987.27,369419987.27,145588488.27,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jun 20 2029,PENDLE,369369582.92,369369582.92,145538083.92,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jun 16 2029,PENDLE,369319178.57,369319178.57,145487679.57,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jun 12 2029,PENDLE,369268774.21,369268774.21,145437275.21,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jun 08 2029,PENDLE,369218369.86,369218369.86,145386870.86,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jun 04 2029,PENDLE,369167965.51,369167965.51,145336466.51,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
May 31 2029,PENDLE,369117561.16,369117561.16,145286062.16,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
May 27 2029,PENDLE,369067156.81,369067156.81,145235657.81,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
May 23 2029,PENDLE,369016752.46,369016752.46,145185253.46,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
May 19 2029,PENDLE,368966348.10,368966348.10,145134849.10,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
May 15 2029,PENDLE,368915943.75,368915943.75,145084444.75,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
May 11 2029,PENDLE,368865539.40,368865539.40,145034040.40,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
May 07 2029,PENDLE,368815135.05,368815135.05,144983636.05,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
May 03 2029,PENDLE,368764730.70,368764730.70,144933231.70,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Apr 29 2029,PENDLE,368714326.35,368714326.35,144882827.35,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Apr 25 2029,PENDLE,368663921.99,368663921.99,144832422.99,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Apr 21 2029,PENDLE,368613517.64,368613517.64,144782018.64,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Apr 17 2029,PENDLE,368563113.29,368563113.29,144731614.29,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Apr 13 2029,PENDLE,368512708.94,368512708.94,144681209.94,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Apr 09 2029,PENDLE,368462304.59,368462304.59,144630805.59,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Apr 05 2029,PENDLE,368411900.24,368411900.24,144580401.24,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Apr 01 2029,PENDLE,368361495.89,368361495.89,144529996.89,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Mar 28 2029,PENDLE,368311091.53,368311091.53,144479592.53,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Mar 24 2029,PENDLE,368260687.18,368260687.18,144429188.18,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
