Date,Symbol,Available Supply,Unlocked Supply,Project Development,Node Emissions,Ecosystem Fund,Strategic Reserve,TGE & Liquidity Provision
Feb 21 2048,MYRIA,49996612423.55,49996612423.55,9500000000.00,17996612423.55,20000000000.00,1000000000.00,1500000000.00
Feb 10 2048,MYRIA,49996579359.37,49996579359.37,9500000000.00,17996579359.37,20000000000.00,1000000000.00,1500000000.00
Jan 30 2048,MYRIA,49996546295.19,49996546295.19,9500000000.00,17996546295.19,20000000000.00,1000000000.00,1500000000.00
Jan 19 2048,MYRIA,49996513231.01,49996513231.01,9500000000.00,17996513231.01,20000000000.00,1000000000.00,1500000000.00
Jan 07 2048,MYRIA,49996477161.00,49996477161.00,9500000000.00,17996477161.00,20000000000.00,1000000000.00,1500000000.00
Dec 27 2047,MYRIA,49996444096.82,49996444096.82,9500000000.00,17996444096.82,20000000000.00,1000000000.00,1500000000.00
Dec 16 2047,MYRIA,49996411032.64,49996411032.64,9500000000.00,17996411032.64,20000000000.00,1000000000.00,1500000000.00
Dec 05 2047,MYRIA,49996377968.46,49996377968.46,9500000000.00,17996377968.46,20000000000.00,1000000000.00,1500000000.00
Nov 23 2047,MYRIA,49996341898.45,49996341898.45,9500000000.00,17996341898.45,20000000000.00,1000000000.00,1500000000.00
Nov 12 2047,MYRIA,49996308834.27,49996308834.27,9500000000.00,17996308834.27,20000000000.00,1000000000.00,1500000000.00
Nov 01 2047,MYRIA,49996275770.09,49996275770.09,9500000000.00,17996275770.09,20000000000.00,1000000000.00,1500000000.00
Oct 21 2047,MYRIA,49996242705.91,49996242705.91,9500000000.00,17996242705.91,20000000000.00,1000000000.00,1500000000.00
Oct 10 2047,MYRIA,49996209641.73,49996209641.73,9500000000.00,17996209641.73,20000000000.00,1000000000.00,1500000000.00
Sep 28 2047,MYRIA,49996173571.72,49996173571.72,9500000000.00,17996173571.72,20000000000.00,1000000000.00,1500000000.00
Sep 17 2047,MYRIA,49996140507.54,49996140507.54,9500000000.00,17996140507.54,20000000000.00,1000000000.00,1500000000.00
Sep 06 2047,MYRIA,49996107443.36,49996107443.36,9500000000.00,17996107443.36,20000000000.00,1000000000.00,1500000000.00
Aug 26 2047,MYRIA,49996074379.18,49996074379.18,9500000000.00,17996074379.18,20000000000.00,1000000000.00,1500000000.00
Aug 14 2047,MYRIA,49996038309.17,49996038309.17,9500000000.00,17996038309.17,20000000000.00,1000000000.00,1500000000.00
Aug 03 2047,MYRIA,49996005244.99,49996005244.99,9500000000.00,17996005244.99,20000000000.00,1000000000.00,1500000000.00
Jul 23 2047,MYRIA,49995972180.81,49995972180.81,9500000000.00,17995972180.81,20000000000.00,1000000000.00,1500000000.00
Jul 12 2047,MYRIA,49995939116.63,49995939116.63,9500000000.00,17995939116.63,20000000000.00,1000000000.00,1500000000.00
Jul 01 2047,MYRIA,49995906052.45,49995906052.45,9500000000.00,17995906052.45,20000000000.00,1000000000.00,1500000000.00
Jun 19 2047,MYRIA,49995869982.44,49995869982.44,9500000000.00,17995869982.43,20000000000.00,1000000000.00,1500000000.00
Jun 08 2047,MYRIA,49995836918.26,49995836918.26,9500000000.00,17995836918.26,20000000000.00,1000000000.00,1500000000.00
May 28 2047,MYRIA,49995803854.08,49995803854.08,9500000000.00,17995803854.08,20000000000.00,1000000000.00,1500000000.00
May 17 2047,MYRIA,49995770789.90,49995770789.90,9500000000.00,17995770789.90,20000000000.00,1000000000.00,1500000000.00
May 05 2047,MYRIA,49995734719.88,49995734719.88,9500000000.00,17995734719.88,20000000000.00,1000000000.00,1500000000.00
Apr 24 2047,MYRIA,49995701655.71,49995701655.71,9500000000.00,17995701655.70,20000000000.00,1000000000.00,1500000000.00
Apr 13 2047,MYRIA,49995668591.53,49995668591.53,9500000000.00,17995668591.53,20000000000.00,1000000000.00,1500000000.00
Apr 02 2047,MYRIA,49995635527.35,49995635527.35,9500000000.00,17995635527.35,20000000000.00,1000000000.00,1500000000.00
Mar 22 2047,MYRIA,49995599449.10,49995599449.10,9500000000.00,17995599449.10,20000000000.00,1000000000.00,1500000000.00
Mar 10 2047,MYRIA,49995527210.23,49995527210.23,9500000000.00,17995527210.23,20000000000.00,1000000000.00,1500000000.00
Feb 27 2047,MYRIA,49995460991.27,49995460991.27,9500000000.00,17995460991.27,20000000000.00,1000000000.00,1500000000.00
Feb 16 2047,MYRIA,49995394772.31,49995394772.31,9500000000.00,17995394772.31,20000000000.00,1000000000.00,1500000000.00
Feb 05 2047,MYRIA,49995328553.35,49995328553.35,9500000000.00,17995328553.35,20000000000.00,1000000000.00,1500000000.00
Jan 24 2047,MYRIA,49995256314.48,49995256314.48,9500000000.00,17995256314.48,20000000000.00,1000000000.00,1500000000.00
Jan 13 2047,MYRIA,49995190095.52,49995190095.52,9500000000.00,17995190095.52,20000000000.00,1000000000.00,1500000000.00
Jan 02 2047,MYRIA,49995123876.56,49995123876.56,9500000000.00,17995123876.56,20000000000.00,1000000000.00,1500000000.00
Dec 22 2046,MYRIA,49995057657.60,49995057657.60,9500000000.00,17995057657.60,20000000000.00,1000000000.00,1500000000.00
Dec 11 2046,MYRIA,49994991438.64,49994991438.64,9500000000.00,17994991438.64,20000000000.00,1000000000.00,1500000000.00
Nov 29 2046,MYRIA,49994919199.78,49994919199.78,9500000000.00,17994919199.78,20000000000.00,1000000000.00,1500000000.00
Nov 18 2046,MYRIA,49994852980.82,49994852980.82,9500000000.00,17994852980.82,20000000000.00,1000000000.00,1500000000.00
Nov 07 2046,MYRIA,49994786761.86,49994786761.86,9500000000.00,17994786761.86,20000000000.00,1000000000.00,1500000000.00
Oct 27 2046,MYRIA,49994720542.90,49994720542.90,9500000000.00,17994720542.90,20000000000.00,1000000000.00,1500000000.00
Oct 15 2046,MYRIA,49994648304.03,49994648304.03,9500000000.00,17994648304.03,20000000000.00,1000000000.00,1500000000.00
Oct 04 2046,MYRIA,49994582085.07,49994582085.07,9500000000.00,17994582085.07,20000000000.00,1000000000.00,1500000000.00
Sep 23 2046,MYRIA,49994515866.11,49994515866.11,9500000000.00,17994515866.11,20000000000.00,1000000000.00,1500000000.00
Sep 12 2046,MYRIA,49994449647.15,49994449647.15,9500000000.00,17994449647.15,20000000000.00,1000000000.00,1500000000.00
Sep 01 2046,MYRIA,49994383428.19,49994383428.19,9500000000.00,17994383428.19,20000000000.00,1000000000.00,1500000000.00
Aug 20 2046,MYRIA,49994311189.32,49994311189.32,9500000000.00,17994311189.32,20000000000.00,1000000000.00,1500000000.00
Aug 09 2046,MYRIA,49994244970.36,49994244970.36,9500000000.00,17994244970.36,20000000000.00,1000000000.00,1500000000.00
Jul 29 2046,MYRIA,49994178751.40,49994178751.40,9500000000.00,17994178751.40,20000000000.00,1000000000.00,1500000000.00
Jul 18 2046,MYRIA,49994112532.44,49994112532.44,9500000000.00,17994112532.44,20000000000.00,1000000000.00,1500000000.00
Jul 06 2046,MYRIA,49994040293.58,49994040293.58,9500000000.00,17994040293.58,20000000000.00,1000000000.00,1500000000.00
Jun 25 2046,MYRIA,49993974074.62,49993974074.62,9500000000.00,17993974074.62,20000000000.00,1000000000.00,1500000000.00
Jun 14 2046,MYRIA,49993907855.66,49993907855.66,9500000000.00,17993907855.66,20000000000.00,1000000000.00,1500000000.00
Jun 03 2046,MYRIA,49993841636.70,49993841636.70,9500000000.00,17993841636.70,20000000000.00,1000000000.00,1500000000.00
May 23 2046,MYRIA,49993775417.74,49993775417.74,9500000000.00,17993775417.74,20000000000.00,1000000000.00,1500000000.00
May 11 2046,MYRIA,49993703178.87,49993703178.87,9500000000.00,17993703178.87,20000000000.00,1000000000.00,1500000000.00
Apr 30 2046,MYRIA,49993636959.91,49993636959.91,9500000000.00,17993636959.91,20000000000.00,1000000000.00,1500000000.00
Apr 19 2046,MYRIA,49993570740.95,49993570740.95,9500000000.00,17993570740.95,20000000000.00,1000000000.00,1500000000.00
Apr 08 2046,MYRIA,49993504521.99,49993504521.99,9500000000.00,17993504521.99,20000000000.00,1000000000.00,1500000000.00
Mar 27 2046,MYRIA,49993432283.12,49993432283.12,9500000000.00,17993432283.12,20000000000.00,1000000000.00,1500000000.00
Mar 16 2046,MYRIA,49993366064.16,49993366064.16,9500000000.00,17993366064.16,20000000000.00,1000000000.00,1500000000.00
Mar 05 2046,MYRIA,49993299845.20,49993299845.20,9500000000.00,17993299845.20,20000000000.00,1000000000.00,1500000000.00
Feb 22 2046,MYRIA,49993233626.24,49993233626.24,9500000000.00,17993233626.24,20000000000.00,1000000000.00,1500000000.00
Feb 11 2046,MYRIA,49993167407.28,49993167407.28,9500000000.00,17993167407.28,20000000000.00,1000000000.00,1500000000.00
Jan 30 2046,MYRIA,49993095168.42,49993095168.42,9500000000.00,17993095168.42,20000000000.00,1000000000.00,1500000000.00
Jan 19 2046,MYRIA,49993028949.46,49993028949.46,9500000000.00,17993028949.46,20000000000.00,1000000000.00,1500000000.00
Jan 08 2046,MYRIA,49992962730.50,49992962730.50,9500000000.00,17992962730.50,20000000000.00,1000000000.00,1500000000.00
Dec 28 2045,MYRIA,49992896511.54,49992896511.54,9500000000.00,17992896511.54,20000000000.00,1000000000.00,1500000000.00
Dec 16 2045,MYRIA,49992824272.67,49992824272.67,9500000000.00,17992824272.67,20000000000.00,1000000000.00,1500000000.00
Dec 05 2045,MYRIA,49992758053.71,49992758053.71,9500000000.00,17992758053.71,20000000000.00,1000000000.00,1500000000.00
Nov 24 2045,MYRIA,49992691834.75,49992691834.75,9500000000.00,17992691834.75,20000000000.00,1000000000.00,1500000000.00
Nov 13 2045,MYRIA,49992625615.79,49992625615.79,9500000000.00,17992625615.79,20000000000.00,1000000000.00,1500000000.00
Nov 02 2045,MYRIA,49992559396.83,49992559396.83,9500000000.00,17992559396.83,20000000000.00,1000000000.00,1500000000.00
Oct 21 2045,MYRIA,49992487157.96,49992487157.96,9500000000.00,17992487157.96,20000000000.00,1000000000.00,1500000000.00
Oct 10 2045,MYRIA,49992420939.00,49992420939.00,9500000000.00,17992420939.00,20000000000.00,1000000000.00,1500000000.00
Sep 29 2045,MYRIA,49992354720.04,49992354720.04,9500000000.00,17992354720.04,20000000000.00,1000000000.00,1500000000.00
Sep 18 2045,MYRIA,49992288501.08,49992288501.08,9500000000.00,17992288501.08,20000000000.00,1000000000.00,1500000000.00
Sep 06 2045,MYRIA,49992216262.22,49992216262.22,9500000000.00,17992216262.22,20000000000.00,1000000000.00,1500000000.00
Aug 26 2045,MYRIA,49992150043.26,49992150043.26,9500000000.00,17992150043.26,20000000000.00,1000000000.00,1500000000.00
Aug 15 2045,MYRIA,49992083824.30,49992083824.30,9500000000.00,17992083824.30,20000000000.00,1000000000.00,1500000000.00
Aug 04 2045,MYRIA,49992017605.34,49992017605.34,9500000000.00,17992017605.34,20000000000.00,1000000000.00,1500000000.00
Jul 24 2045,MYRIA,49991951386.38,49991951386.38,9500000000.00,17991951386.38,20000000000.00,1000000000.00,1500000000.00
Jul 12 2045,MYRIA,49991879147.51,49991879147.51,9500000000.00,17991879147.51,20000000000.00,1000000000.00,1500000000.00
Jul 01 2045,MYRIA,49991812928.55,49991812928.55,9500000000.00,17991812928.55,20000000000.00,1000000000.00,1500000000.00
Jun 20 2045,MYRIA,49991746709.59,49991746709.59,9500000000.00,17991746709.59,20000000000.00,1000000000.00,1500000000.00
Jun 09 2045,MYRIA,49991680490.63,49991680490.63,9500000000.00,17991680490.63,20000000000.00,1000000000.00,1500000000.00
May 28 2045,MYRIA,49991608251.76,49991608251.76,9500000000.00,17991608251.76,20000000000.00,1000000000.00,1500000000.00
May 17 2045,MYRIA,49991542032.80,49991542032.80,9500000000.00,17991542032.80,20000000000.00,1000000000.00,1500000000.00
May 06 2045,MYRIA,49991475813.84,49991475813.84,9500000000.00,17991475813.84,20000000000.00,1000000000.00,1500000000.00
Apr 25 2045,MYRIA,49991409594.88,49991409594.88,9500000000.00,17991409594.88,20000000000.00,1000000000.00,1500000000.00
Apr 14 2045,MYRIA,49991343375.92,49991343375.92,9500000000.00,17991343375.92,20000000000.00,1000000000.00,1500000000.00
Apr 02 2045,MYRIA,49991271137.06,49991271137.06,9500000000.00,17991271137.06,20000000000.00,1000000000.00,1500000000.00
Mar 22 2045,MYRIA,49991198914.66,49991198914.66,9500000000.00,17991198914.66,20000000000.00,1000000000.00,1500000000.00
Mar 11 2045,MYRIA,49991066657.90,49991066657.90,9500000000.00,17991066657.90,20000000000.00,1000000000.00,1500000000.00
Feb 28 2045,MYRIA,49990934401.14,49990934401.14,9500000000.00,17990934401.14,20000000000.00,1000000000.00,1500000000.00
Feb 16 2045,MYRIA,49990790121.03,49990790121.03,9500000000.00,17990790121.03,20000000000.00,1000000000.00,1500000000.00
Feb 05 2045,MYRIA,49990657864.27,49990657864.27,9500000000.00,17990657864.27,20000000000.00,1000000000.00,1500000000.00
Jan 25 2045,MYRIA,49990525607.51,49990525607.51,9500000000.00,17990525607.51,20000000000.00,1000000000.00,1500000000.00
Jan 14 2045,MYRIA,49990393350.75,49990393350.75,9500000000.00,17990393350.75,20000000000.00,1000000000.00,1500000000.00
Jan 03 2045,MYRIA,49990261093.98,49990261093.98,9500000000.00,17990261093.98,20000000000.00,1000000000.00,1500000000.00
Dec 22 2044,MYRIA,49990116813.88,49990116813.88,9500000000.00,17990116813.88,20000000000.00,1000000000.00,1500000000.00
Dec 11 2044,MYRIA,49989984557.12,49989984557.12,9500000000.00,17989984557.12,20000000000.00,1000000000.00,1500000000.00
Nov 30 2044,MYRIA,49989852300.36,49989852300.36,9500000000.00,17989852300.36,20000000000.00,1000000000.00,1500000000.00
Nov 19 2044,MYRIA,49989720043.59,49989720043.59,9500000000.00,17989720043.59,20000000000.00,1000000000.00,1500000000.00
Nov 07 2044,MYRIA,49989575763.49,49989575763.49,9500000000.00,17989575763.49,20000000000.00,1000000000.00,1500000000.00
Oct 27 2044,MYRIA,49989443506.73,49989443506.73,9500000000.00,17989443506.73,20000000000.00,1000000000.00,1500000000.00
Oct 16 2044,MYRIA,49989311249.97,49989311249.97,9500000000.00,17989311249.97,20000000000.00,1000000000.00,1500000000.00
Oct 05 2044,MYRIA,49989178993.20,49989178993.20,9500000000.00,17989178993.20,20000000000.00,1000000000.00,1500000000.00
Sep 24 2044,MYRIA,49989046736.44,49989046736.44,9500000000.00,17989046736.44,20000000000.00,1000000000.00,1500000000.00
Sep 12 2044,MYRIA,49988902456.34,49988902456.34,9500000000.00,17988902456.34,20000000000.00,1000000000.00,1500000000.00
Sep 01 2044,MYRIA,49988770199.58,49988770199.58,9500000000.00,17988770199.58,20000000000.00,1000000000.00,1500000000.00
Aug 21 2044,MYRIA,49988637942.81,49988637942.81,9500000000.00,17988637942.81,20000000000.00,1000000000.00,1500000000.00
Aug 10 2044,MYRIA,49988505686.05,49988505686.05,9500000000.00,17988505686.05,20000000000.00,1000000000.00,1500000000.00
Jul 29 2044,MYRIA,49988361405.95,49988361405.95,9500000000.00,17988361405.95,20000000000.00,1000000000.00,1500000000.00
Jul 18 2044,MYRIA,49988229149.19,49988229149.19,9500000000.00,17988229149.19,20000000000.00,1000000000.00,1500000000.00
Jul 07 2044,MYRIA,49988096892.42,49988096892.42,9500000000.00,17988096892.42,20000000000.00,1000000000.00,1500000000.00
Jun 26 2044,MYRIA,49987964635.66,49987964635.66,9500000000.00,17987964635.66,20000000000.00,1000000000.00,1500000000.00
Jun 15 2044,MYRIA,49987832378.90,49987832378.90,9500000000.00,17987832378.90,20000000000.00,1000000000.00,1500000000.00
Jun 03 2044,MYRIA,49987688098.80,49987688098.80,9500000000.00,17987688098.80,20000000000.00,1000000000.00,1500000000.00
May 23 2044,MYRIA,49987555842.03,49987555842.03,9500000000.00,17987555842.03,20000000000.00,1000000000.00,1500000000.00
May 12 2044,MYRIA,49987423585.27,49987423585.27,9500000000.00,17987423585.27,20000000000.00,1000000000.00,1500000000.00
May 01 2044,MYRIA,49987291328.51,49987291328.51,9500000000.00,17987291328.51,20000000000.00,1000000000.00,1500000000.00
Apr 19 2044,MYRIA,49987147048.41,49987147048.41,9500000000.00,17987147048.41,20000000000.00,1000000000.00,1500000000.00
Apr 08 2044,MYRIA,49987014791.64,49987014791.64,9500000000.00,17987014791.64,20000000000.00,1000000000.00,1500000000.00
Mar 28 2044,MYRIA,49986882534.88,49986882534.88,9500000000.00,17986882534.88,20000000000.00,1000000000.00,1500000000.00
Mar 17 2044,MYRIA,49986750278.12,49986750278.12,9500000000.00,17986750278.12,20000000000.00,1000000000.00,1500000000.00
Mar 06 2044,MYRIA,49986618021.36,49986618021.36,9500000000.00,17986618021.36,20000000000.00,1000000000.00,1500000000.00
Feb 23 2044,MYRIA,49986473741.25,49986473741.25,9500000000.00,17986473741.25,20000000000.00,1000000000.00,1500000000.00
Feb 12 2044,MYRIA,49986341484.49,49986341484.49,9500000000.00,17986341484.49,20000000000.00,1000000000.00,1500000000.00
Feb 01 2044,MYRIA,49986209227.73,49986209227.73,9500000000.00,17986209227.73,20000000000.00,1000000000.00,1500000000.00
Jan 21 2044,MYRIA,49986076970.97,49986076970.97,9500000000.00,17986076970.97,20000000000.00,1000000000.00,1500000000.00
