Date,Symbol,Available Supply,Unlocked Supply,Foundation,Team,Staking Rewards,Ecosystem,Advisors,Private Investors,Binance IEO Investors
Aug 15 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Aug 13 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Aug 10 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Aug 08 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Aug 06 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Aug 04 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Aug 02 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jul 31 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jul 29 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jul 26 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jul 24 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jul 22 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jul 20 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jul 18 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jul 16 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jul 14 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jul 12 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jul 09 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jul 07 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jul 05 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jul 03 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jul 01 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jun 29 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jun 27 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jun 25 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jun 22 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jun 20 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jun 18 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jun 16 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jun 14 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jun 12 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jun 10 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jun 08 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jun 05 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jun 03 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jun 01 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
May 30 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
May 28 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
May 26 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
