Date,Symbol,Available Supply,Unlocked Supply,Decentraland DAO,Decentraland Foundation,Team,Crowdsale
Jun 11 2027,MANA,1819442764.81,1819442764.81,161931911.40,161931911.40,375578942.00,1120000000.00
Jun 06 2027,MANA,1818835709.84,1818835709.84,161628383.92,161628383.92,375578942.00,1120000000.00
May 31 2027,MANA,1818107243.89,1818107243.89,161264150.94,161264150.94,375578942.00,1120000000.00
May 26 2027,MANA,1817500188.92,1817500188.92,160960623.46,160960623.46,375578942.00,1120000000.00
May 21 2027,MANA,1816893133.96,1816893133.96,160657095.98,160657095.98,375578942.00,1120000000.00
May 16 2027,MANA,1816286079.00,1816286079.00,160353568.50,160353568.50,375578942.00,1120000000.00
May 11 2027,MANA,1815679024.03,1815679024.03,160050041.02,160050041.02,375578942.00,1120000000.00
May 05 2027,MANA,1814950558.08,1814950558.08,159685808.04,159685808.04,375578942.00,1120000000.00
Apr 30 2027,MANA,1814343503.12,1814343503.12,159382280.56,159382280.56,375578942.00,1120000000.00
Apr 25 2027,MANA,1813736448.15,1813736448.15,159078753.08,159078753.08,375578942.00,1120000000.00
Apr 20 2027,MANA,1813129393.19,1813129393.19,158775225.59,158775225.59,375578942.00,1120000000.00
Apr 14 2027,MANA,1812400927.23,1812400927.23,158410992.62,158410992.62,375578942.00,1120000000.00
Apr 09 2027,MANA,1811793872.27,1811793872.27,158107465.14,158107465.14,375578942.00,1120000000.00
Apr 04 2027,MANA,1811186817.31,1811186817.31,157803937.65,157803937.65,375578942.00,1120000000.00
Mar 30 2027,MANA,1810579762.34,1810579762.34,157500410.17,157500410.17,375578942.00,1120000000.00
Mar 24 2027,MANA,1809851296.39,1809851296.39,157136177.19,157136177.19,375578942.00,1120000000.00
Mar 19 2027,MANA,1809244241.43,1809244241.43,156832649.71,156832649.71,375578942.00,1120000000.00
Mar 14 2027,MANA,1808637186.46,1808637186.46,156529122.23,156529122.23,375578942.00,1120000000.00
Mar 09 2027,MANA,1808030131.50,1808030131.50,156225594.75,156225594.75,375578942.00,1120000000.00
Mar 03 2027,MANA,1807301665.54,1807301665.54,155861361.77,155861361.77,375578942.00,1120000000.00
Feb 26 2027,MANA,1806694610.58,1806694610.58,155557834.29,155557834.29,375578942.00,1120000000.00
Feb 21 2027,MANA,1806087555.62,1806087555.62,155254306.81,155254306.81,375578942.00,1120000000.00
Feb 16 2027,MANA,1805480500.65,1805480500.65,154950779.33,154950779.33,375578942.00,1120000000.00
Feb 11 2027,MANA,1804873445.69,1804873445.69,154647251.85,154647251.85,375578942.00,1120000000.00
Feb 05 2027,MANA,1804144979.74,1804144979.74,154283018.87,154283018.87,375578942.00,1120000000.00
Jan 31 2027,MANA,1803537924.77,1803537924.77,153979491.39,153979491.39,375578942.00,1120000000.00
Jan 26 2027,MANA,1802930869.81,1802930869.81,153675963.90,153675963.90,375578942.00,1120000000.00
Jan 21 2027,MANA,1802323814.85,1802323814.85,153372436.42,153372436.42,375578942.00,1120000000.00
Jan 15 2027,MANA,1801595348.89,1801595348.89,153008203.45,153008203.45,375578942.00,1120000000.00
Jan 10 2027,MANA,1800988293.93,1800988293.93,152704675.96,152704675.96,375578942.00,1120000000.00
Jan 05 2027,MANA,1800381238.96,1800381238.96,152401148.48,152401148.48,375578942.00,1120000000.00
Dec 31 2026,MANA,1799774184.00,1799774184.00,152097621.00,152097621.00,375578942.00,1120000000.00
Dec 25 2026,MANA,1799045718.05,1799045718.05,151733388.02,151733388.02,375578942.00,1120000000.00
Dec 20 2026,MANA,1798438663.08,1798438663.08,151429860.54,151429860.54,375578942.00,1120000000.00
Dec 15 2026,MANA,1797831608.12,1797831608.12,151126333.06,151126333.06,375578942.00,1120000000.00
Dec 10 2026,MANA,1797224553.16,1797224553.16,150822805.58,150822805.58,375578942.00,1120000000.00
Dec 05 2026,MANA,1796617498.19,1796617498.19,150519278.10,150519278.10,375578942.00,1120000000.00
Nov 29 2026,MANA,1795889032.24,1795889032.24,150155045.12,150155045.12,375578942.00,1120000000.00
Nov 24 2026,MANA,1795281977.27,1795281977.27,149851517.64,149851517.64,375578942.00,1120000000.00
Nov 19 2026,MANA,1794674922.31,1794674922.31,149547990.16,149547990.16,375578942.00,1120000000.00
Nov 14 2026,MANA,1794067867.35,1794067867.35,149244462.67,149244462.67,375578942.00,1120000000.00
Nov 08 2026,MANA,1793339401.39,1793339401.39,148880229.70,148880229.70,375578942.00,1120000000.00
Nov 03 2026,MANA,1792732346.43,1792732346.43,148576702.21,148576702.21,375578942.00,1120000000.00
Oct 29 2026,MANA,1792125291.47,1792125291.47,148273174.73,148273174.73,375578942.00,1120000000.00
Oct 24 2026,MANA,1791518236.50,1791518236.50,147969647.25,147969647.25,375578942.00,1120000000.00
Oct 18 2026,MANA,1790789770.55,1790789770.55,147605414.27,147605414.27,375578942.00,1120000000.00
Oct 13 2026,MANA,1790182715.58,1790182715.58,147301886.79,147301886.79,375578942.00,1120000000.00
Oct 08 2026,MANA,1789575660.62,1789575660.62,146998359.31,146998359.31,375578942.00,1120000000.00
Oct 03 2026,MANA,1788968605.66,1788968605.66,146694831.83,146694831.83,375578942.00,1120000000.00
Sep 27 2026,MANA,1788240139.70,1788240139.70,146330598.85,146330598.85,375578942.00,1120000000.00
Sep 22 2026,MANA,1787633084.74,1787633084.74,146027071.37,146027071.37,375578942.00,1120000000.00
Sep 17 2026,MANA,1787026029.78,1787026029.78,145723543.89,145723543.89,375578942.00,1120000000.00
Sep 12 2026,MANA,1786418974.81,1786418974.81,145420016.41,145420016.41,375578942.00,1120000000.00
Sep 07 2026,MANA,1785811919.85,1785811919.85,145116488.93,145116488.93,375578942.00,1120000000.00
Sep 01 2026,MANA,1785083453.89,1785083453.89,144752255.95,144752255.95,375578942.00,1120000000.00
Aug 27 2026,MANA,1784476398.93,1784476398.93,144448728.47,144448728.47,375578942.00,1120000000.00
Aug 22 2026,MANA,1783869343.97,1783869343.97,144145200.98,144145200.98,375578942.00,1120000000.00
Aug 17 2026,MANA,1783262289.01,1783262289.01,143841673.50,143841673.50,375578942.00,1120000000.00
Aug 11 2026,MANA,1782533823.05,1782533823.05,143477440.53,143477440.53,375578942.00,1120000000.00
