Date,Symbol,Available Supply,Unlocked Supply,Community Issuance,Team and Advisors,Service Providers,Liquity AG Endowment,Investors,LUSD:ETH Uniswap LPs,Community Reserve
Jan 29 2034,LQTY,99995387.41,99995387.41,31995387.41,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jan 23 2034,LQTY,99995323.20,99995323.20,31995323.20,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jan 17 2034,LQTY,99995258.99,99995258.99,31995258.99,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jan 11 2034,LQTY,99995194.78,99995194.78,31995194.78,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jan 04 2034,LQTY,99995119.86,99995119.86,31995119.86,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Dec 29 2033,LQTY,99995055.65,99995055.65,31995055.65,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Dec 23 2033,LQTY,99994991.44,99994991.44,31994991.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Dec 17 2033,LQTY,99994927.23,99994927.23,31994927.23,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Dec 10 2033,LQTY,99994852.31,99994852.31,31994852.31,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Dec 04 2033,LQTY,99994788.10,99994788.10,31994788.10,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Nov 28 2033,LQTY,99994723.89,99994723.89,31994723.89,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Nov 22 2033,LQTY,99994659.67,99994659.67,31994659.67,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Nov 15 2033,LQTY,99994584.76,99994584.76,31994584.76,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Nov 09 2033,LQTY,99994520.55,99994520.55,31994520.55,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Nov 03 2033,LQTY,99994456.34,99994456.34,31994456.34,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Oct 28 2033,LQTY,99994392.12,99994392.12,31994392.12,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Oct 21 2033,LQTY,99994317.21,99994317.21,31994317.21,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Oct 15 2033,LQTY,99994253.00,99994253.00,31994253.00,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Oct 09 2033,LQTY,99994188.78,99994188.78,31994188.78,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Oct 03 2033,LQTY,99994124.57,99994124.57,31994124.57,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Sep 26 2033,LQTY,99994049.66,99994049.66,31994049.66,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
