Date,Symbol,Available Supply,Unlocked Supply,Treasury & Ecosystem,Development & Team,Presale,NFT Staking,Staking Reward,Liquidity Management,Airdrop
Feb 05 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 04 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 03 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 02 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 01 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 31 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 31 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 30 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 29 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 28 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 27 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 26 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 25 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 24 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 23 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 22 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 21 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 20 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 19 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 18 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 17 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 16 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 15 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 14 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 13 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 12 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 11 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 10 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 09 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 08 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 07 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 06 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 05 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 04 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 03 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 02 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jan 01 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Dec 31 2023,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Dec 30 2023,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Dec 29 2023,X2Y2,0,961641774.87,87500000.00,75000000.00,15000000.00,449189904.01,199960095.43,14991775.43,120000000.00
Dec 29 2023,X2Y2,0,961641774.87,87500000.00,75000000.00,15000000.00,449189904.01,199960095.43,14991775.43,120000000.00
Dec 28 2023,X2Y2,0,960939374.31,87500000.00,75000000.00,15000000.00,448530392.12,199924535.81,14984446.38,120000000.00
Dec 27 2023,X2Y2,0,960236973.75,87500000.00,75000000.00,15000000.00,447870880.24,199888976.18,14977117.33,120000000.00
Dec 26 2023,X2Y2,0,959534573.19,87500000.00,75000000.00,15000000.00,447211368.35,199853416.55,14969788.28,120000000.00
Dec 25 2023,X2Y2,0,958832172.62,87500000.00,75000000.00,15000000.00,446551856.47,199817856.93,14962459.23,120000000.00
Dec 24 2023,X2Y2,0,958129772.06,87500000.00,75000000.00,15000000.00,445892344.58,199782297.30,14955130.18,120000000.00
Dec 23 2023,X2Y2,0,957427371.50,87500000.00,75000000.00,15000000.00,445232832.69,199746737.67,14947801.13,120000000.00
Dec 22 2023,X2Y2,0,956724970.94,87500000.00,75000000.00,15000000.00,444573320.81,199711178.05,14940472.08,120000000.00
Dec 21 2023,X2Y2,0,956022570.38,87500000.00,75000000.00,15000000.00,443913808.92,199675618.42,14933143.03,120000000.00
Dec 20 2023,X2Y2,0,955320169.82,87500000.00,75000000.00,15000000.00,443254297.04,199640058.79,14925813.98,120000000.00
Dec 19 2023,X2Y2,0,954617769.25,87500000.00,75000000.00,15000000.00,442594785.15,199604499.17,14918484.93,120000000.00
Dec 18 2023,X2Y2,0,953915368.69,87500000.00,75000000.00,15000000.00,441935273.27,199568939.54,14911155.88,120000000.00
Dec 17 2023,X2Y2,0,953212968.13,87500000.00,75000000.00,15000000.00,441275761.38,199533379.92,14903826.83,120000000.00
Dec 16 2023,X2Y2,0,952510567.57,87500000.00,75000000.00,15000000.00,440616249.50,199497820.29,14896497.78,120000000.00
Dec 15 2023,X2Y2,0,951808167.01,87500000.00,75000000.00,15000000.00,439956737.61,199462260.66,14889168.73,120000000.00
Dec 14 2023,X2Y2,0,951105766.45,87500000.00,75000000.00,15000000.00,439297225.73,199426701.04,14881839.68,120000000.00
