Date,Symbol,Available Supply,Unlocked Supply,AGIX-ADA Utility,Campaign Supporters,SingularityNET Foundation,Founders,Reward Pool,Token Sale
Apr 29 2045,AGIX,1987321420.00,1987321420.00,987321420.00,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 17 2045,AGIX,1987128345.20,1987128345.20,987128345.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 06 2045,AGIX,1987128345.20,1987128345.20,987128345.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 26 2045,AGIX,1986932330.20,1986932330.20,986932330.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 15 2045,AGIX,1986932330.20,1986932330.20,986932330.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 03 2045,AGIX,1986932330.20,1986932330.20,986932330.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Feb 20 2045,AGIX,1986733330.10,1986733330.10,986733330.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Feb 09 2045,AGIX,1986733330.10,1986733330.10,986733330.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 29 2045,AGIX,1986733330.10,1986733330.10,986733330.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 18 2045,AGIX,1986531299.60,1986531299.60,986531299.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 06 2045,AGIX,1986531299.60,1986531299.60,986531299.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 26 2044,AGIX,1986326192.50,1986326192.50,986326192.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 15 2044,AGIX,1986326192.50,1986326192.50,986326192.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 04 2044,AGIX,1986326192.50,1986326192.50,986326192.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Nov 22 2044,AGIX,1986117961.90,1986117961.90,986117961.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Nov 11 2044,AGIX,1986117961.90,1986117961.90,986117961.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 31 2044,AGIX,1986117961.90,1986117961.90,986117961.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 20 2044,AGIX,1985906560.30,1985906560.30,985906560.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 09 2044,AGIX,1985906560.30,1985906560.30,985906560.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 27 2044,AGIX,1985691939.40,1985691939.40,985691939.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 16 2044,AGIX,1985691939.40,1985691939.40,985691939.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 05 2044,AGIX,1985691939.40,1985691939.40,985691939.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Aug 25 2044,AGIX,1985474050.20,1985474050.20,985474050.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Aug 13 2044,AGIX,1985474050.20,1985474050.20,985474050.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
