Date,Symbol,Price,Available Supply,Unlocked Supply,Investors,Team,Protocol Launch,Initial Emissions,DEXes,Bonding Curve,Community
Aug 27 2022,STG,$0.92,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 27 2022,STG,$0.92,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 27 2022,STG,$0.92,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 27 2022,STG,$0.92,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 27 2022,STG,$0.92,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 26 2022,STG,$1.01,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 26 2022,STG,$1.01,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 26 2022,STG,$1.01,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 26 2022,STG,$1.01,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 25 2022,STG,$0.74,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 25 2022,STG,$0.74,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 25 2022,STG,$0.74,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 25 2022,STG,$0.74,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 25 2022,STG,$0.74,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 24 2022,STG,$0.76,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 24 2022,STG,$0.76,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 24 2022,STG,$0.76,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 24 2022,STG,$0.76,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 24 2022,STG,$0.76,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 23 2022,STG,$0.71,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 23 2022,STG,$0.71,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 23 2022,STG,$0.71,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 23 2022,STG,$0.71,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 22 2022,STG,$0.64,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 22 2022,STG,$0.64,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 22 2022,STG,$0.64,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 22 2022,STG,$0.64,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 22 2022,STG,$0.64,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 21 2022,STG,$0.71,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 21 2022,STG,$0.71,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 21 2022,STG,$0.71,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 21 2022,STG,$0.71,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 21 2022,STG,$0.71,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 20 2022,STG,$0.85,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 20 2022,STG,$0.85,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 20 2022,STG,$0.85,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 20 2022,STG,$0.85,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 19 2022,STG,$0.33,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 19 2022,STG,$0.33,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 19 2022,STG,$0.33,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 19 2022,STG,$0.33,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 19 2022,STG,$0.33,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 18 2022,STG,$0.34,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 18 2022,STG,$0.34,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 18 2022,STG,$0.34,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 18 2022,STG,$0.34,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 18 2022,STG,$0.34,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 17 2022,STG,$0.34,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 17 2022,STG,$0.34,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 17 2022,STG,$0.34,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 17 2022,STG,$0.34,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 16 2022,STG,$0.34,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 16 2022,STG,$0.34,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 16 2022,STG,$0.34,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 16 2022,STG,$0.34,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 16 2022,STG,$0.34,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 15 2022,STG,$0.35,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 15 2022,STG,$0.35,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 15 2022,STG,$0.35,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 15 2022,STG,$0.35,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 15 2022,STG,$0.35,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 14 2022,STG,$0.36,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 14 2022,STG,$0.36,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 14 2022,STG,$0.36,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 14 2022,STG,$0.36,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 13 2022,STG,$0.36,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 13 2022,STG,$0.36,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 13 2022,STG,$0.36,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
