Date,Symbol,Price,Available Supply,Unlocked Supply,Ecosystem Development,Project Development,Private Sales,Public Sales 2,Public Sales 1,Foundation Reserve
Dec 15 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 15 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 15 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 14 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 14 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 14 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 13 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 13 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 13 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 13 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 12 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 12 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 12 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 12 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 11 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 11 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 11 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 10 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 10 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 10 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 10 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 09 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 09 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 09 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 08 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 08 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 08 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 08 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
