Date,Symbol,Price,Available Supply,Unlocked Supply,Team Managed Wallets (TBD),Team Managed Wallets,Public Token Sale
Jun 30 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 29 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 28 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 28 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 27 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 27 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 26 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 26 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 25 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 25 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 24 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 24 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 23 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 23 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 22 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 21 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 21 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 20 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 20 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 19 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 19 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 18 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 18 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 17 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 17 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 16 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 16 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 15 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 15 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 14 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 13 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 13 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 12 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 12 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 11 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 11 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 10 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 10 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 09 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 09 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 08 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 08 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 07 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 07 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 06 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 05 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 05 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 04 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 04 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 03 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 03 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 02 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 02 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 01 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 01 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
May 31 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
May 31 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
May 30 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
