Date,Symbol,Price,Available Supply,Unlocked Supply,Mining Reserve (TBD),Simple Minting,Baseline Minting,Protocol Labs Team and Contributors,Filecoin Foundation,Protocol Labs,Fundraising 36 months,Fundraising 24 months,Fundraising 12 months,Fundraising 6 months
Jan 01 2048,FIL,0,1994889091.74,1694889091.74,300000000.00,324889091.74,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 01 2048,FIL,0,1994889091.74,1694889091.74,300000000.00,324889091.74,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 31 2047,FIL,0,1994884071.20,1694884071.20,300000000.00,324884071.20,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 30 2047,FIL,0,1994879050.66,1694879050.66,300000000.00,324879050.66,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 29 2047,FIL,0,1994874030.12,1694874030.12,300000000.00,324874030.12,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 29 2047,FIL,0,1994874030.12,1694874030.12,300000000.00,324874030.12,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 28 2047,FIL,0,1994869009.58,1694869009.58,300000000.00,324869009.58,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 27 2047,FIL,0,1994863989.05,1694863989.05,300000000.00,324863989.05,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 27 2047,FIL,0,1994863989.05,1694863989.05,300000000.00,324863989.05,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 26 2047,FIL,0,1994858968.51,1694858968.51,300000000.00,324858968.51,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 25 2047,FIL,0,1994853947.97,1694853947.97,300000000.00,324853947.97,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 24 2047,FIL,0,1994848927.43,1694848927.43,300000000.00,324848927.43,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 24 2047,FIL,0,1994848927.43,1694848927.43,300000000.00,324848927.43,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 23 2047,FIL,0,1994843906.89,1694843906.89,300000000.00,324843906.89,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 22 2047,FIL,0,1994838886.35,1694838886.35,300000000.00,324838886.35,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 21 2047,FIL,0,1994833865.81,1694833865.81,300000000.00,324833865.81,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 21 2047,FIL,0,1994833865.81,1694833865.81,300000000.00,324833865.81,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 20 2047,FIL,0,1994828845.28,1694828845.28,300000000.00,324828845.28,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
